kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.001875984,0.002582025,0.003463337,0.002507833,0.000226706,3.79E-05,0.003581,0.846,0.0002492,0.0459,0.804
0.002232274,0.002616313,0.003030334,0.002274164,0.000211865,3.40E-05,0.003315,0.8527,0.0001521,0.04893,0.9008
0.002027867,0.004038493,0.003865602,0.001837977,0.000199165,3.69E-05,0.003511,0.8467,0.0002564,0.04286,0.7981
0.00214168,0.002989972,0.003768081,0.001473493,0.0002622,3.03E-05,0.003282,0.8765,0.000111,0.05002,0.934
0.001827638,0.003482788,0.002926292,0.002404711,0.000233457,4.57E-05,0.003633,0.8105,0.000206,0.05127,0.856
0.002053167,0.002848732,0.003530947,0.002483127,0.00026846,3.70E-05,0.003455,0.8454,0.0001365,0.03197,0.867
0.001691457,0.002694765,0.004823755,0.001816629,0.000245531,3.54E-05,0.003443,0.8517,0.0001943,0.06314,0.8829
0.001945509,0.002856312,0.003164221,0.002471396,0.000252532,3.72E-05,0.003388,0.8452,0.0001445,0.03449,0.8651
0.00281314,0.003424354,0.003589282,0.00157444,0.000229374,3.69E-05,0.003746,0.8541,0.0002937,0.05727,0.8016
0.001743079,0.003056481,0.002812197,0.003002766,0.000207755,4.10E-05,0.00361,0.8297,0.0002059,0.03689,0.8214
0.002140106,0.004052707,0.003369775,0.003015277,0.000249565,3.10E-05,0.00332,0.8706,0.0001999,0.03583,0.8228
0.001788546,0.002968278,0.003425398,0.002766373,0.000204528,3.44E-05,0.00337,0.8574,0.0001707,0.05831,0.8877
0.002010239,0.002316352,0.004373287,0.002151832,0.0001838,3.62E-05,0.003542,0.851,0.0001502,0.03646,0.8854
0.002183241,0.00370716,0.003148185,0.002506861,0.000217104,3.46E-05,0.003373,0.856,0.0002651,0.04796,0.8213
0.002145022,0.003361376,0.003835719,0.00248101,0.000211901,3.50E-05,0.003367,0.8534,0.0001339,0.03825,0.8847
0.002265171,0.00293272,0.004195451,0.002348849,0.00022472,4.12E-05,0.003604,0.8317,0.0001024,0.04139,0.9272
0.002620447,0.003709149,0.002962246,0.002664528,0.000237314,3.36E-05,0.003404,0.8632,0.000145,0.03907,0.8738
0.001722418,0.004486431,0.002991972,0.003885645,0.000222697,3.36E-05,0.003503,0.8607,0.0001864,0.03183,0.8361
0.001787303,0.00348583,0.003892859,0.001592163,0.000197046,3.94E-05,0.003652,0.84,0.0001926,0.04459,0.8387
