A2,B2,n2
1.13E-07,0.001163,1.748
1.94E-08,0.001127,1.951
7.33E-08,0.000887,1.789
1.10E-08,0.001354,2
3.03E-07,0.00118,1.587
1.21E-07,0.001368,1.73
3.01E-08,0.0008508,1.906
1.05E-06,0.004462,1.442
1.56E-08,0.001109,2
1.57E-07,0.0009863,1.66
3.59E-08,0.0009338,1.885
2.37E-07,0.001446,1.626
2.29E-08,0.001621,1.941
1.59E-08,0.0008079,1.999
6.63E-08,0.002049,1.798
1.32E-08,0.0019,2
5.44E-08,0.001123,1.826
2.18E-08,0.0009078,1.939
1.25E-07,0.002394,1.696
1.16E-07,0.001253,1.706
2.09E-07,0.001888,1.648
1.27E-07,0.001311,1.688
8.39E-08,0.0014,1.73
2.16E-08,0.001692,1.928
2.12E-07,0.001337,1.613
2.11E-08,0.001551,1.945
1.21E-08,0.001271,2
1.24E-07,0.001926,1.716
7.81E-08,0.000703,1.765
1.06E-07,0.00125,1.721
1.65E-08,0.0007663,2
1.56E-08,0.001052,1.991
3.32E-08,0.001471,1.879
1.89E-08,0.0008066,1.976
1.74E-08,0.001286,1.949
1.66E-07,0.001907,1.665
9.86E-08,0.0008352,1.71
3.05E-08,0.001817,1.882
3.65E-08,0.0008206,1.865
2.05E-08,0.001563,1.951
7.04E-08,0.001151,1.778
6.91E-08,0.0009159,1.772
8.12E-08,0.001791,1.758
2.53E-08,0.001678,1.932
4.67E-08,0.001634,1.853
5.11E-07,0.002192,1.51
1.21E-07,0.001788,1.695
3.01E-08,0.001397,1.9
2.36E-07,0.002053,1.62
8.18E-08,0.002428,1.792
4.44E-08,0.001124,1.855
1.77E-08,0.001131,1.963
1.59E-08,0.001209,1.962
5.38E-08,0.001276,1.827
1.52E-07,0.002392,1.674
1.37E-08,0.0009009,2
8.86E-08,0.001034,1.778
1.27E-08,0.001055,2
8.64E-08,0.001683,1.75
9.94E-08,0.001599,1.711
1.26E-07,0.0022,1.684
3.27E-07,0.00291,1.565
1.73E-08,0.0007474,1.964
2.97E-07,0.002285,1.604
2.13E-07,0.001912,1.615
3.57E-08,0.001208,1.876
