Kon (pM^-n)*s^-1,Koff (s^-1),n
8.676e-06,0.0002458,1.038
1.138e-05,0.0002441,0.9906
1.306e-05,0.0002471,0.9706
1.013e-05,0.0002454,1.021
9.741e-06,0.0002408,1.032
8.692e-06,0.0002356,1.041
1.399e-05,0.0002403,0.9665
1.161e-05,0.0002307,0.9875
7.837e-06,0.0002315,1.079
8.713e-06,0.0002439,1.049
1.173e-05,0.0002502,0.997
1.106e-05,0.0002529,1.003
1.2e-05,0.000276,0.9989
8.362e-06,0.0002422,1.058
9.251e-06,0.0002628,1.039
1.18e-05,0.0002679,0.992
9.748e-06,0.0002441,1.029
1.044e-05,0.0002384,1.007
9.443e-06,0.0002529,1.048
1.043e-05,0.0002427,1.012
1.091e-05,0.0002478,1.005
9.996e-06,0.0002307,1.026
9.549e-06,0.0002426,1.021
1.143e-05,0.0002492,0.9964
9.39e-06,0.0002446,1.039
1.252e-05,0.0002514,0.9979
7.169e-06,0.000236,1.088
1.209e-05,0.0002523,0.9978
1.032e-05,0.0002644,1.012
8.663e-06,0.0002207,1.046
6.387e-06,0.0002596,1.103
1.08e-05,0.0002369,1.017
9.728e-06,0.0002619,1.021
1.054e-05,0.0002402,1.01
7.001e-06,0.0002258,1.089
9.091e-06,0.0002471,1.044
1.083e-05,0.0002345,1.005
9.961e-06,0.0002222,1.018
1.047e-05,0.0002401,1.02
1.095e-05,0.0002497,1.018
9.92e-06,0.0002444,1.02
8.768e-06,0.0002442,1.042
1.027e-05,0.000252,1.021
7.788e-06,0.0002223,1.07
6.275e-06,0.0002289,1.113
8.688e-06,0.0002159,1.057
9.008e-06,0.0002362,1.041
1.188e-05,0.0002463,0.9937
9.244e-06,0.00024,1.036
9.894e-06,0.000242,1.017
1.021e-05,0.000263,1.017
9.442e-06,0.0002452,1.042
6.738e-06,0.0002383,1.093
1.013e-05,0.0002638,1.02
1.25e-05,0.0002417,0.9839
1.274e-05,0.0002303,0.9757
7.314e-06,0.0002478,1.077
9.885e-06,0.0002348,1.032
7.6e-06,0.0002399,1.061
1.293e-05,0.0002612,0.9801
1.075e-05,0.000236,1.016
1.179e-05,0.0002331,0.9864
1.204e-05,0.0002378,0.9961
1.05e-05,0.0002593,1.004
8.322e-06,0.0002506,1.053
9.257e-06,0.0002535,1.034
8.313e-06,0.000247,1.06
7.252e-06,0.0002355,1.086
1.055e-05,0.0002506,1.021
1.019e-05,0.0002395,1.019
7.702e-06,0.0002333,1.074
1.227e-05,0.0002468,0.9834
1.084e-05,0.0002422,1.01
1.277e-05,0.000244,0.9701
8.92e-06,0.0002394,1.051
8.804e-06,0.0002563,1.047
8.042e-06,0.0002523,1.07
8.612e-06,0.0002392,1.042
1.04e-05,0.0002526,1.024
9.694e-06,0.0002413,1.029
1.14e-05,0.0002302,0.9961
1.065e-05,0.000247,1.014
9.654e-06,0.0002498,1.047
6.501e-06,0.0002455,1.101
1.201e-05,0.0002527,1
1.058e-05,0.0002674,1.02
8.15e-06,0.0002713,1.075
6.643e-06,0.0002301,1.09
9.043e-06,0.0002493,1.04
1.085e-05,0.0002376,1.007
8.931e-06,0.0002538,1.044
1.149e-05,0.0002561,1.006
7.702e-06,0.0002303,1.065
7.64e-06,0.0002534,1.069
8.821e-06,0.0002457,1.031
7.846e-06,0.0002355,1.066
9.422e-06,0.0002486,1.026
9.414e-06,0.0002569,1.03
9.856e-06,0.0002457,1.026
1.05e-05,0.0002552,1.018
1.044e-05,0.0002511,1.019
1.1e-05,0.0002463,1.009
1.297e-05,0.0002637,0.9795
1.122e-05,0.0002488,1.007
1.112e-05,0.0002328,1.015
1.204e-05,0.0002718,0.9889
1.231e-05,0.0002406,0.9871
8.026e-06,0.0002234,1.059
9.436e-06,0.0002372,1.03
1.018e-05,0.000246,1.021
1.217e-05,0.0002356,1.003
9.816e-06,0.0002305,1.029
9.366e-06,0.0002436,1.037
8.62e-06,0.0002264,1.055
8.923e-06,0.0002548,1.042
9.922e-06,0.0002406,1.035
